fold,difficulty,budget_pct,algorithm,seed,AUC_PR
0,hard,0.05,MemStream,123,0.24404287899557092
0,hard,0.05,MemStream,456,0.24404287899557092
0,hard,0.05,MemStream,789,0.24404287899557092
0,hard,0.05,MemStream,1024,0.24404287899557092
0,hard,0.1,MemStream,42,0.24404287899557092
0,hard,0.1,MemStream,123,0.24404287899557092
0,hard,0.1,MemStream,456,0.24404287899557092
0,hard,0.1,MemStream,789,0.24404287899557092
0,hard,0.1,MemStream,1024,0.24404287899557092
0,hard,0.25,MemStream,42,0.24404287899557092
0,hard,0.25,MemStream,123,0.24404287899557092
0,hard,0.25,MemStream,456,0.24404287899557092
0,hard,0.25,MemStream,789,0.24404287899557092
0,hard,0.25,MemStream,1024,0.24404287899557092
0,medium,0.01,MemStream,42,0.5681430082495017
0,medium,0.01,MemStream,123,0.5681430082495017
0,medium,0.01,MemStream,456,0.5681430082495017
0,medium,0.01,MemStream,789,0.5681430082495017
0,medium,0.01,MemStream,1024,0.5681430082495017
0,medium,0.05,MemStream,42,0.5681430082495017
0,medium,0.05,MemStream,123,0.5681430082495017
0,medium,0.05,MemStream,456,0.5681430082495017
0,medium,0.05,MemStream,789,0.5681430082495017
0,medium,0.05,MemStream,1024,0.5681430082495017
0,medium,0.1,MemStream,42,0.5681430082495017
0,medium,0.1,MemStream,123,0.5681430082495017
0,medium,0.1,MemStream,456,0.5681430082495017
0,medium,0.1,MemStream,789,0.5681430082495017
0,medium,0.1,MemStream,1024,0.5681430082495017
0,medium,0.25,MemStream,42,0.5681430082495017
0,medium,0.25,MemStream,123,0.5681430082495017
0,medium,0.25,MemStream,456,0.5681430082495017
0,medium,0.25,MemStream,789,0.5681430082495017
0,medium,0.25,MemStream,1024,0.5681430082495017
1,easy,0.01,MemStream,42,0.8182097136471043
1,easy,0.01,MemStream,123,0.8182097136471043
1,easy,0.01,MemStream,456,0.8182097136471043
1,easy,0.01,MemStream,789,0.8182097136471043
1,easy,0.01,MemStream,1024,0.8182097136471043
1,easy,0.05,MemStream,42,0.8182097136471043
1,easy,0.05,MemStream,123,0.8182097136471043
1,easy,0.05,MemStream,456,0.8182097136471043
1,easy,0.05,MemStream,789,0.8182097136471043
1,easy,0.05,MemStream,1024,0.8182097136471043
1,easy,0.1,MemStream,42,0.8182097136471043
1,easy,0.1,MemStream,123,0.8182097136471043
1,easy,0.1,MemStream,456,0.8182097136471043
1,easy,0.1,MemStream,789,0.8182097136471043
1,easy,0.1,MemStream,1024,0.8182097136471043
1,easy,0.25,MemStream,42,0.8182097136471043
1,easy,0.25,MemStream,123,0.8182097136471043
1,easy,0.25,MemStream,456,0.8182097136471043
1,easy,0.25,MemStream,789,0.8182097136471043
1,easy,0.25,MemStream,1024,0.8182097136471043
1,hard,0.01,MemStream,42,0.20448129616437094
1,hard,0.01,MemStream,123,0.20448129616437094
1,hard,0.01,MemStream,456,0.20448129616437094
1,hard,0.01,MemStream,789,0.20448129616437094
1,hard,0.01,MemStream,1024,0.20448129616437094
1,hard,0.05,MemStream,42,0.20448129616437094
1,hard,0.05,MemStream,123,0.20448129616437094
1,hard,0.05,MemStream,456,0.20448129616437094
1,hard,0.05,MemStream,789,0.20448129616437094
1,hard,0.05,MemStream,1024,0.20448129616437094
1,hard,0.1,MemStream,42,0.20448129616437094
1,hard,0.1,MemStream,123,0.20448129616437094
1,hard,0.1,MemStream,456,0.20448129616437094
1,hard,0.1,MemStream,789,0.20448129616437094
1,hard,0.1,MemStream,1024,0.20448129616437094
