AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget,BAR_score
0.1646600696693045,0.6106390666666667,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,hard,sHST-River,456,,500,0.0329320139338609
0.1380269582617912,0.5215825333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,MemStream,42,,0,13.80269582617912
0.10215455482822272,0.4100628,0.17851110822398336,0.11086009359367435,0.458,0.551,687,5510,4490,813,0.0,0.0,500,0.13043478260869565,1,2,hard,MemStream,42,,500,0.020430910965644544
0.1380269582617912,0.5215825333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,MemStream,123,,0,13.80269582617912
0.10225040842865162,0.4112985333333333,0.1784037558685446,0.11089494163424124,0.456,0.5484,684,5484,4516,816,0.0,0.0,500,0.13043478260869565,1,2,hard,MemStream,123,,500,0.02045008168573032
0.1380269582617912,0.5215825333333334,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,MemStream,456,,0,13.80269582617912
0.10201574583154896,0.4092781333333333,0.17783505154639176,0.11022364217252396,0.46,0.557,690,5570,4430,810,0.0,0.0,500,0.13043478260869565,1,2,hard,MemStream,456,,500,0.02040314916630979
0.14088873432185506,0.5237250666666666,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),42,,0,14.088873432185506
0.14088873432185506,0.5237250666666666,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,500,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),42,,500,0.028177746864371012
0.14258201182953195,0.5279151,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),123,,0,14.258201182953195
0.14496705714674907,0.5372795,0.23078698361412417,0.13044612575006523,1.0,0.9999,1500,9999,1,0,0.0,0.0,500,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),123,,500,0.028993411429349816
0.1388603908988519,0.5183439333333333,0.23076923076923078,0.13043478260869565,1.0,1.0,1500,10000,0,0,0.0,0.0,0,0.13043478260869565,1,2,hard,CA-DIF-EIA (streaming),456,,0,13.886039089885191
