difficulty,algo,seed,label_budget,elapsed_s,AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,labels_consumed,anomaly_rate,auc_pr_pre_drift,auc_pr_post_drift,drift_detected_at,drift_point
sudden_drift,FullMemStream,1000,500,3.1268059000140056,0.7893979969111153,0.9400383999999999,0.10934937124111536,0.0578368999421631,1.0,0.8145,500,8145,1855,0,500,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,1000,500,20.57575759998872,0.9321513645785169,0.9980822,0.8613518197573656,0.7599388379204893,0.994,0.0157,497,157,9843,3,500,0.047619047619047616,,,,
poisoned,FullMemStream,42,0,2.711801400000695,0.1308737648781787,0.6960854000000001,0.16052631578947368,0.23461538461538461,0.122,0.0199,61,199,9801,439,0,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,42,0,18.49122960001114,0.12019635074256593,0.6739057999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,0,0.047619047619047616,,,,
poisoned,FullMemStream,42,100,2.9361486999841873,0.134284073417887,0.6762789999999999,0.15362731152204837,0.2660098522167488,0.108,0.0149,54,149,9851,446,100,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,42,100,19.096876299998257,0.12019635074256593,0.6739057999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,100,0.047619047619047616,,,,
poisoned,FullMemStream,42,500,2.9854199000110384,0.11265066769943091,0.6503282,0.06725663716814159,0.2923076923076923,0.038,0.0046,19,46,9954,481,500,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,42,500,20.454643400007626,0.12019635074256593,0.6739057999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,500,0.047619047619047616,,,,
poisoned,FullMemStream,123,0,2.7050448000081815,0.1266317416975991,0.6872542,0.15915119363395225,0.23622047244094488,0.12,0.0194,60,194,9806,440,0,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,123,0,18.810288199980278,0.11588572330553584,0.6589621999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,0,0.047619047619047616,,,,
poisoned,FullMemStream,123,100,2.7311301000008825,0.12654320554822332,0.6874504,0.15978695073235685,0.23904382470119523,0.12,0.0191,60,191,9809,440,100,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,123,100,19.362154200003715,0.11588572330553584,0.6589621999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,100,0.047619047619047616,,,,
poisoned,FullMemStream,123,500,3.3220404000021517,0.1147771740369431,0.6588764,0.10666666666666667,0.32,0.064,0.0068,32,68,9932,468,500,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,123,500,19.54454609999084,0.11588572330553584,0.6589621999999999,0.1440677966101695,0.24519230769230768,0.102,0.0157,51,157,9843,449,500,0.047619047619047616,,,,
poisoned,FullMemStream,456,0,2.6903707000019494,0.12210413647256582,0.6563378,0.14739884393063585,0.265625,0.102,0.0141,51,141,9859,449,0,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,456,0,19.486962099996163,0.11711277296935105,0.6658064,0.12285714285714286,0.215,0.086,0.0157,43,157,9843,457,0,0.047619047619047616,,,,
poisoned,FullMemStream,456,100,2.6729524999973364,0.11471553069994107,0.6701512000000001,0.09294320137693632,0.3333333333333333,0.054,0.0054,27,54,9946,473,100,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,456,100,18.764941900008125,0.11711277296935105,0.6658064,0.12285714285714286,0.215,0.086,0.0157,43,157,9843,457,100,0.047619047619047616,,,,
poisoned,FullMemStream,456,500,3.049368600011803,0.09905777073566868,0.6262006,0.06761565836298933,0.3064516129032258,0.038,0.0043,19,43,9957,481,500,0.047619047619047616,,,,
poisoned,SimplifiedMemStream,456,500,20.59696939997957,0.11711277296935105,0.6658064,0.12285714285714286,0.215,0.086,0.0157,43,157,9843,457,500,0.047619047619047616,,,,
