fold,difficulty,algorithm,seed,AUC_PR_control,AUC_PR_treatment,delta
10,easy,CA-DIF-EIA,123,0.9000901312746199,0.924522947162925,0.02443281588830515
10,easy,CA-DIF-EIA,456,0.9128560530264184,0.9301976699931639,0.01734161696674552
10,easy,CA-DIF-EIA,789,0.9026582819278235,0.9429590626533404,0.040300780725516905
10,easy,CA-DIF-EIA,1024,0.9116943529823289,0.9311413043783993,0.019446951396070333
10,hard,CA-DIF-EIA,42,0.6327585599405283,0.6612512411374036,0.028492681196875314
10,hard,CA-DIF-EIA,123,0.609153923236611,0.6779324918259639,0.06877856858935294
10,hard,CA-DIF-EIA,456,0.6252682710392211,0.6698519389067796,0.04458366786755852
10,hard,CA-DIF-EIA,789,0.6251503304348593,0.7084743505607303,0.08332402012587092
10,hard,CA-DIF-EIA,1024,0.6240246060221981,0.6665131590389397,0.04248855301674159
10,medium,CA-DIF-EIA,42,0.7623252531200031,0.8099305643126912,0.04760531119268807
10,medium,CA-DIF-EIA,123,0.7621516132655135,0.8143729090864742,0.05222129582096069
10,medium,CA-DIF-EIA,456,0.7690670762296368,0.8246912731657541,0.05562419693611731
10,medium,CA-DIF-EIA,789,0.768963542910297,0.8342393440743763,0.06527580116407927
10,medium,CA-DIF-EIA,1024,0.7824189292649543,0.8234950061366227,0.04107607687166848
0,easy,METER-SCD,42,0.9131962560850744,0.9246321114199157,0.011435855334841372
0,easy,METER-SCD,123,0.9117427035247851,0.9339747436130862,0.02223204008830104
0,easy,METER-SCD,456,0.9241698278119455,0.9430510883912664,0.018881260579320935
0,easy,METER-SCD,789,0.8942586027251793,0.9342217923800245,0.03996318965484513
0,easy,METER-SCD,1024,0.9007195804406252,0.9285220351563581,0.02780245471573295
0,hard,METER-SCD,42,0.6567880578141336,0.6969086061250611,0.040120548310927484
0,hard,METER-SCD,123,0.6414590739767665,0.7090505622644799,0.06759148828771344
0,hard,METER-SCD,456,0.6393551926147207,0.7130331255355127,0.07367793292079194
0,hard,METER-SCD,789,0.6220035704711959,0.7166805725353573,0.09467700206416141
0,hard,METER-SCD,1024,0.6577856341501627,0.7028222218857164,0.045036587735553746
0,medium,METER-SCD,42,0.7967677549774255,0.8389494294053258,0.04218167442790033
0,medium,METER-SCD,123,0.7959156300487976,0.8442377649314229,0.04832213488262527
0,medium,METER-SCD,456,0.7915728913924146,0.8509213645767433,0.059348473184328676
0,medium,METER-SCD,789,0.7632795648045921,0.8419195453254946,0.07863998052090249
0,medium,METER-SCD,1024,0.7970082285991518,0.8402159521197914,0.04320772352063962
1,easy,METER-SCD,42,0.8983945458868879,0.9169131507823357,0.018518604895447766
1,easy,METER-SCD,123,0.9192349563219545,0.91918665328177,-4.830304018454967e-05
1,easy,METER-SCD,456,0.9073071731364518,0.9234792543877626,0.016172081251310755
1,easy,METER-SCD,789,0.8923001427480464,0.9393048478903816,0.047004705142335235
1,easy,METER-SCD,1024,0.8824933042685945,0.9167907174526205,0.034297413184026015
