AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,score_ms,drift_count,update_count,BAR,label_budget,label_fraction,algorithm,fraud_type,fold,month,seed
0.06108075456309118,0.6022475321637426,0.05466666666666667,0.05466666666666667,0.05466666666666667,0.04975438596491228,41,709,13541,709,6942.281723022461,44,44,0.06108075456309118,0,0.0,CA-MemStream-EIA,type1_only,2,2,42
,0.476140350877193,0.0,0.0,0.0,0.047719298245614036,0,680,13570,750,0.0,0,0,,0,0.0,Canary-Rules,type1_only,2,2,42
0.054659793782720206,0.5166980116959063,0.058666666666666666,0.058666666666666666,0.058666666666666666,0.04954385964912281,44,706,13544,706,28.912067413330078,0,0,0.054659793782720206,0,0.0,Random,type1_only,2,2,42
0.04842544084806709,0.5174028538011696,0.005333333333333333,0.005333333333333333,0.005333333333333333,0.05235087719298245,4,746,13504,746,6409.472942352295,0,0,0.04842544084806709,0,0.0,MemStream,type2_only,2,2,42
0.04831582366143015,0.5159279532163742,0.005333333333333333,0.005333333333333333,0.005333333333333333,0.05235087719298245,4,746,13504,746,7550.1158237457275,0,0,0.04831582366143015,0,0.0,CA-MemStream,type2_only,2,2,42
0.056368263677302625,0.5844990877192983,0.012,0.012,0.012,0.052,9,741,13509,741,7431.35404586792,44,44,0.056368263677302625,0,0.0,CA-MemStream-EIA,type2_only,2,2,42
,0.476140350877193,0.0,0.0,0.0,0.047719298245614036,0,680,13570,750,0.0,0,0,,0,0.0,Canary-Rules,type2_only,2,2,42
0.05108149637036309,0.5036276959064327,0.04933333333333333,0.04933333333333333,0.04933333333333333,0.050035087719298245,37,713,13537,713,30.008554458618164,0,0,0.05108149637036309,0,0.0,Random,type2_only,2,2,42
0.062045308082721226,0.5972553918128655,0.053333333333333344,0.05333333333333334,0.05333333333333334,0.04982456140350877,40,710,13540,710,6269.073963165283,0,0,0.062045308082721226,0,0.0,MemStream,type3_only,2,2,42
0.06189179582056407,0.5952114152046784,0.053333333333333344,0.05333333333333334,0.05333333333333334,0.04982456140350877,40,710,13540,710,7352.028369903564,0,0,0.06189179582056407,0,0.0,CA-MemStream,type3_only,2,2,42
0.0736786259014165,0.6603107836257309,0.072,0.072,0.072,0.048842105263157895,54,696,13554,696,8398.862838745117,44,44,0.0736786259014165,0,0.0,CA-MemStream-EIA,type3_only,2,2,42
,0.476140350877193,0.0,0.0,0.0,0.047719298245614036,0,680,13570,750,0.0,0,0,,0,0.0,Canary-Rules,type3_only,2,2,42
0.050786848109298705,0.5014025730994153,0.05466666666666667,0.05466666666666667,0.05466666666666667,0.04975438596491228,41,709,13541,709,27.98628807067871,0,0,0.050786848109298705,0,0.0,Random,type3_only,2,2,42
0.9403908208341981,0.9908772586343807,0.9022556390977444,0.88,0.9256661991584852,0.006299433051025408,660,90,14197,53,5794.603109359741,0,0,0.9403908208341981,0,0.0,MemStream,mixed,2,2,42
0.9398144497124573,0.9908796146635721,0.9022556390977444,0.88,0.9256661991584852,0.006299433051025408,660,90,14197,53,7412.269353866577,0,0,0.9398144497124573,0,0.0,CA-MemStream,mixed,2,2,42
0.9355614329291079,0.9911839351008199,0.9063568010936432,0.884,0.9298737727910238,0.006089451949324561,663,87,14200,50,7739.200830459595,48,48,0.9355614329291079,0,0.0,CA-MemStream-EIA,mixed,2,2,42
,0.8135092946824127,0.0,0.0,0.0,0.0,0,0,14287,713,0.0,0,0,,0,0.0,Canary-Rules,mixed,2,2,42
0.05215744237213133,0.5192559738347251,0.06151742993848257,0.06,0.06311360448807854,0.04934555889969903,45,705,13582,668,66.74838066101074,0,0,0.05215744237213133,0,0.0,Random,mixed,2,2,42
0.8869777968238682,0.9891344228592089,0.815114709851552,0.8053333333333333,0.825136612021858,0.010232688533781889,604,146,14122,128,6036.7913246154785,0,0,0.8869777968238682,0,0.0,MemStream,hybrid,2,2,42
0.886982713490051,0.9892262443681532,0.815114709851552,0.8053333333333333,0.825136612021858,0.010232688533781889,604,146,14122,128,8254.533290863037,0,0,0.886982713490051,0,0.0,CA-MemStream,hybrid,2,2,42
0.8896170448494615,0.9898970488432981,0.815114709851552,0.8053333333333333,0.825136612021858,0.010232688533781889,604,146,14122,128,8942.568063735962,33,33,0.8896170448494615,0,0.0,CA-MemStream-EIA,hybrid,2,2,42
